epoch,correctness,error
1,0.3333333333333333,59.6671422531
2,0.3333333333333333,43.0986895764
3,0.3333333333333333,42.5376382233
4,0.3333333333333333,41.7978616932
5,0.3333333333333333,40.7951999423
6,0.3333333333333333,39.4141176711
7,0.3333333333333333,37.6450215609
8,0.3333333333333333,35.6933229732
9,0.3333333333333333,33.9145373406
10,0.3333333333333333,32.5987955245
11,0.3333333333333333,31.8222429147
12,0.5523809523809524,31.4882395207
13,0.6190476190476191,31.4557130189
14,0.6571428571428571,31.6043000849
15,0.6666666666666666,31.8407064903
16,0.6666666666666666,32.0941974345
17,0.6666666666666666,32.3144178332
18,0.6666666666666666,32.4690040962
19,0.6666666666666666,32.5383149655
20,0.6666666666666666,32.5079687355
21,0.6666666666666666,32.3610834775
22,0.6666666666666666,32.0714799047
23,0.6666666666666666,31.6002247798
24,0.6666666666666666,30.9033299637
25,0.6666666666666666,29.9617279042
26,0.6666666666666666,28.8196617854
27,0.6666666666666666,27.577452423
28,0.6666666666666666,26.3343254072
29,0.6666666666666666,25.1545519929
30,0.6666666666666666,24.0744672231
31,0.6666666666666666,23.1146137702
32,0.6666666666666666,22.2842804056
33,0.6666666666666666,21.5831392354
34,0.6666666666666666,21.0033110793
35,0.6666666666666666,20.5320822602
36,0.6666666666666666,20.1545530298
37,0.6666666666666666,19.855651081
38,0.6666666666666666,19.6213692985
39,0.6666666666666666,19.43936815
40,0.6666666666666666,19.2991551404
41,0.6666666666666666,19.1920207455
42,0.6666666666666666,19.1108547398
43,0.6666666666666666,19.0499193365
44,0.6666666666666666,19.0046217529
45,0.6666666666666666,18.9713070426
46,0.6666666666666666,18.9470791453
47,0.6666666666666666,18.9296511298
48,0.6666666666666666,18.9172222645
49,0.6666666666666666,18.9083782791
50,0.6761904761904762,18.9020109934
51,0.6761904761904762,18.8972538161
52,0.6761904761904762,18.8934301235
53,0.6761904761904762,18.8900120605
54,0.6761904761904762,18.8865877781
55,0.6857142857142857,18.8828355183
56,0.6857142857142857,18.8785032623
57,0.6952380952380952,18.8733928983
58,0.7047619047619048,18.8673480469
59,0.7047619047619048,18.8602448216
60,0.7047619047619048,18.8519849209
61,0.7047619047619048,18.8424905385
62,0.7142857142857143,18.8317006659
63,0.7142857142857143,18.8195684348
64,0.7142857142857143,18.8060592105
65,0.7142857142857143,18.7911492092
66,0.7238095238095238,18.774824462
67,0.7238095238095238,18.7570799896
68,0.7333333333333333,18.7379190915
69,0.7333333333333333,18.7173526799
70,0.7333333333333333,18.6953986145
71,0.7333333333333333,18.6720810109
72,0.7333333333333333,18.6474295114
73,0.7523809523809524,18.6214785187
74,0.7523809523809524,18.5942663987
75,0.7523809523809524,18.565834668
76,0.7523809523809524,18.5362271818
77,0.7619047619047619,18.5054893429
78,0.7619047619047619,18.4736673511
79,0.7714285714285715,18.44080751
80,0.7714285714285715,18.4069556072
81,0.7714285714285715,18.3721563805
82,0.780952380952381,18.3364530766
83,0.7904761904761904,18.2998871053
84,0.7904761904761904,18.2624977902
85,0.7904761904761904,18.2243222086
86,0.7904761904761904,18.1853951141
87,0.7904761904761904,18.1457489304
88,0.7904761904761904,18.1054138048
89,0.7904761904761904,18.0644177074
90,0.7904761904761904,18.0227865641
91,0.7904761904761904,17.9805444095
92,0.7904761904761904,17.9377135498
93,0.7904761904761904,17.8943147247
94,0.7904761904761904,17.8503672603
95,0.7904761904761904,17.8058892075
96,0.7904761904761904,17.7608974595
97,0.7904761904761904,17.7154078474
98,0.7904761904761904,17.6694352104
99,0.8,17.6229934424
